Participante;Id Participante;Tipo de Registro;Tipo de Pago;Tipo de comprobante;Indicador de Venta;Ruc Proveedor;Serie;Numeración;N. Autorización;Ruc Adquirente;Adquirente Registrado;Moneda;Importe Neto a Pagar (Factura Negociable);Fecha de Pago;Importe Neto a Pagar (XML - Crédito);Fecha de Pago (XML - Crédito);Entidad a Pagar;Razón Social Proveedor;Departamento Proveedor;Provincia Proveedor;Distrito Proveedor;Dirección Proveedor;Teléfono Proveedor;Razón Social Adquirente;Nombre de contacto adquirente;Departamento adquirente;Provincia adquirente;Distrito adquirente;Dirección adquirente;Teléfono adquirente;Email adquirente;Fecha Emisión;Descripción;Número de guía;Orden de compra;Monto bruto (Comprobante de Pago);IGV (Comprobante de Pago);Monto Neto (Comprobante de Pago);Fecha de Vencimiento;Cláusula de Prórroga;Cláusulas Especiales;Observaciones;Fecha de registro;Respuesta Sunat;Estado SUNAT;Fecha de Entrega Factura Negociable;Fecha de Puesta a Disposición SUNAT;Conteo de Presunción;Respuesta de Adquirente;Fecha de Respuesta Adquirente;Motivos de Disconformidad;Comentarios Disconformidad;Cantidad de Documentos asociados;Tipo Documento Asociado;Serie y Numeración;Fecha de Anotación en Cuenta;Fehaciencia por Comunicación de Anotación en Cuenta;Código de Valor;Participante Origen;Fecha de Transferencia Contable;Fecha de Comunicación de Transferencia Contable;Fecha de Traspaso;Fecha de Transferencia Fiduciaria;RUT (Beneficiario Final);RUC (Beneficiario Final);Razón Social (Beneficiario Final);Fecha de Reprogramación;Anulada SUNAT;Estado;Fecha de Estado;Fecha Efectiva de Pago;Fecha de Generación de Constancia;Fecha de Notificación sobre Emisión de Constancia;Motivo de Retiro;Estado CPE SUNAT;Evento SUNAT;Cond. Conformidad SUNAT;Fecha de evento SUNAT;Usuario Generador;Tipo de Afectación;Nivel de Afectación;Fecha Inicial Afectación;Acreedor Afectación;Monto Afectación;Nro de cuotas;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota;Cuota Nro;Importe Neto a Pagar Cuota;Fecha Pago Cuota;Estado Cuota
841 - MADERO FACTORING S.A.C.;841;Electrónico;Pago único;Factura Comercial;Crédito;20559070999;E001;2854;;20431871808;SI;S/;6932.74;17/07/2026;6932.74;17/07/2026;CAVALI S.A. I.C.L.V.;TRIPLETS SOCIEDAD ANONIMA CERRADA - TRIPLETS S.A.C.;AREQUIPA;AREQUIPA;AREQUIPA;CAL. JACINTO IBAÑEZ Z.I. PARQUE INDUSTRIAL MZA. D LOTE. 3 B;;PERURAIL S.A.;;LIMA;LIMA;MIRAFLORES;AV. ARMENDARIZ 480 URB. ARMENDARIZ INT. 601 LIMA-LIMA-MIRAFLORES;;;1/06/2026;ABASTECIMIENTO DE AGUA POTABLE PARA CONSUMO HUMANO PUESTO EN LA ESTACION PILLONES SERVICIOS REALIZADOS DEL 26/05/2026 AL 30/05/2026.;;;6120;1101.6;7221.6;17/07/2026;Si;FECHA DE PAGO PUEDE SER PRORROGADA;;1/06/2026;Autorizada;Aceptado;1/06/2026;1/06/2026;;Conformidad Expresa;8/06/2026;;;;;;1/06/2026;SI;FN0010777595;841;2/06/2026;2/06/2026;;;1328903;20604772410;MADERO FACTORING S.A.C.;;NO;Anotada en Cuenta;1/06/2026 11:06;;;;;Conforme;CPE con conformidad;Conformidad expresa dentro del plazo;8/06/2026;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841 - MADERO FACTORING S.A.C.;841;Electrónico;Pago único;Factura Comercial;Crédito;20559070999;E001;2855;;20431871808;SI;S/;6932.74;17/07/2026;6932.74;17/07/2026;CAVALI S.A. I.C.L.V.;TRIPLETS SOCIEDAD ANONIMA CERRADA - TRIPLETS S.A.C.;AREQUIPA;AREQUIPA;AREQUIPA;CAL. JACINTO IBAÑEZ Z.I. PARQUE INDUSTRIAL MZA. D LOTE. 3 B;;PERURAIL S.A.;;LIMA;LIMA;MIRAFLORES;AV. ARMENDARIZ 480 URB. ARMENDARIZ INT. 601 LIMA-LIMA-MIRAFLORES;;;1/06/2026;DE AGUA POTABLE PARA CONSUMO HUMANO PUESTO EN LA ESTACION DE LA JOYA SAN CAMILO COCACHACRA ISLAY AREQUIPA SERVICIOS REALIZADOS DEL 25/05/2026 AL 29/05/2026.;;;6120;1101.6;7221.6;17/07/2026;Si;FECHA DE PAGO PUEDE SER PRORROGADA;;1/06/2026;Autorizada;Aceptado;1/06/2026;1/06/2026;;Conformidad Expresa;8/06/2026;;;;;;1/06/2026;SI;FN0010777596;841;2/06/2026;2/06/2026;;;1328903;20604772410;MADERO FACTORING S.A.C.;;NO;Anotada en Cuenta;1/06/2026 11:06;;;;;Conforme;CPE con conformidad;Conformidad expresa dentro del plazo;8/06/2026;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841 - MADERO FACTORING S.A.C.;841;Electrónico;Pago único;Factura Comercial;Crédito;20545431824;E001;606;;20467534026;SI;S/;62868.89;3/07/2026;62868.89;1/07/2026;CAVALI S.A. I.C.L.V.;ENTELCON S.A.C.;LIMA;LIMA;SAN MIGUEL;CAL. CACIQUE DE UMACHIRI 371 URB. SAN MIGUELITO CDR.10 DE AV. LA MARINA;;AMERICA MOVIL PERU S.A.C.;;LIMA;LIMA;LA VICTORIA;AV. NICOLAS ARRIOLA 480 URB. SANTA CATALINA LIMA-LIMA-LA VICTORIA;;;1/06/2026;SERV. CUADRILLA OPT CENTRO ABR26 Y MAY26 - SEGUN ORDEN DE COMPRA 4500896349;;;60544;10897.92;71441.92;3/07/2026;Si;FECHA DE PAGO PUEDE SER PRORROGADA;;1/06/2026;Autorizada;Aceptado;1/06/2026;1/06/2026;;Conformidad Expresa;2/06/2026;;;;;;1/06/2026;SI;FN0010778198;841;2/06/2026;2/06/2026;;;1328903;20604772410;MADERO FACTORING S.A.C.;;NO;Anotada en Cuenta;1/06/2026 11:49;;;;;Conforme;CPE con conformidad;Conformidad expresa dentro del plazo;2/06/2026;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841 - MADERO FACTORING S.A.C.;841;Electrónico;Pago único;Factura Comercial;Crédito;20557041550;E001;260;;20304177552;SI;$;7147.52;13/07/2026;7147.52;13/07/2026;CAVALI S.A. I.C.L.V.;HIGHTOWER PERU CORPORATION SOCIEDAD ANONIMA CERRADA - HIGHTOWER S.A.C.;LIMA;LIMA;LINCE;AV. ABEL B DU PETIT THOUARS 1775 INT. 706 EDIFICIO EL ALMIRANTE;;PLUSPETROL PERU CORPORATION S.A.;;LIMA;LIMA;SAN ISIDRO;CAL. LAS BEGONIAS 415 TORRE BEGONIAS PISO 11 LIMA-LIMA-SAN ISIDRO;;;30/05/2026;SERVICIO DE RELEVAMIENTO DIAGNOSTICO E INGENIERIA MALVINAS SITECAMP ITSE;;;6883.2;1238.98;8122.18;13/07/2026;Si;FECHA DE PAGO PUEDE SER PRORROGADA;;1/06/2026;Autorizada;Aceptado;1/06/2026;1/06/2026;;Conformidad Expresa;2/06/2026;;;;;;1/06/2026;SI;FN0010781159;841;2/06/2026;2/06/2026;;;1328903;20604772410;MADERO FACTORING S.A.C.;;NO;Anotada en Cuenta;1/06/2026 15:31;;;;;Conforme;CPE con conformidad;Conformidad expresa dentro del plazo;2/06/2026;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841 - MADERO FACTORING S.A.C.;841;Electrónico;Pago único;Factura Comercial;Contado;10296402970;E001;7;;20155945860;SI;S/;52958.4;26/06/2026;;;CAVALI S.A. I.C.L.V.;VASQUEZ VALDIVIA ALEXEI;LIMA;LIMA;MIRAFLORES;CAL. CARLOS AUGUSTO SALAVERRY 283;;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;;LIMA;LIMA;SAN MIGUEL;AV. UNIVERSITARIA 1801 URB. PANDO LIMA-LIMA-SAN MIGUEL;;;27/05/2026;PRODUCCION DE VIDEO SPOT PARA CAMPAÑA DE ADMISION PREGRADO 60% INICIAL - ALEXEI VASQUEZ (PRIMER MOMENTO) - OC 603843;;;51000;9180;60180;26/06/2026;No;;;2/06/2026;Autorizada;;2/06/2026;;;Conformidad Presunta;11/06/2026;;;;;;2/06/2026;SI;FN0010786120;905;2/06/2026;2/06/2026;;;1328903;20604772410;MADERO FACTORING S.A.C.;;;Anotada en Cuenta;2/06/2026 12:01;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841 - MADERO FACTORING S.A.C.;841;Electrónico;Pago único;Factura Comercial;Crédito;20565790448;E001;1553;;20109072177;SI;S/;1353.61;5/08/2026;1395.47;1/08/2026;CAVALI S.A. I.C.L.V.;BDC VIDA S.A.C.;LIMA;LIMA;MIRAFLORES;CAL. FEDERICO RECABARREN 350 DPTO. 411;;CENCOSUD RETAIL PERU S.A.;;LIMA;LIMA;MIRAFLORES;CAL. AUGUSTO ANGULO 130 URB. SAN ANTONIO LIMA-LIMA-MIRAFLORES;;;11/05/2026;VIDA Y CHIA 250 GR;;;1182.6;212.87;1395.47;5/08/2026;No;EN CASO DE CONTROVERSIAS, LAS PARTES SE SOMETEN A LA JURISDICCIÓN DE LOS JUECES Y TRIBUNALES DE LIMA CERCADO;;2/06/2026;Autorizada;Aceptado;2/06/2026;11/05/2026;;Conformidad Expresa;14/05/2026;;;;;;2/06/2026;SI;FN0010790325;861;3/06/2026;3/06/2026;;;1328903;20604772410;MADERO FACTORING S.A.C.;;NO;Anotada en Cuenta;2/06/2026 16:47;;;;;Conforme;CPE con conformidad;Conformidad expresa dentro del plazo;14/05/2026;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841 - MADERO FACTORING S.A.C.;841;Electrónico;Pago único;Factura Comercial;Crédito;20565790448;E001;1555;;20109072177;SI;S/;2105.61;5/08/2026;2170.73;1/08/2026;CAVALI S.A. I.C.L.V.;BDC VIDA S.A.C.;LIMA;LIMA;MIRAFLORES;CAL. FEDERICO RECABARREN 350 DPTO. 411;;CENCOSUD RETAIL PERU S.A.;;LIMA;LIMA;MIRAFLORES;CAL. AUGUSTO ANGULO 130 URB. SAN ANTONIO LIMA-LIMA-MIRAFLORES;;;11/05/2026;VIDA Y CHIA 250 GR;;;1839.6;331.13;2170.73;5/08/2026;No;EN CASO DE CONTROVERSIAS, LAS PARTES SE SOMETEN A LA JURISDICCIÓN DE LOS JUECES Y TRIBUNALES DE LIMA CERCADO;;2/06/2026;Autorizada;Aceptado;2/06/2026;11/05/2026;;Conformidad Expresa;14/05/2026;;;;;;2/06/2026;SI;FN0010790324;861;3/06/2026;3/06/2026;;;1328903;20604772410;MADERO FACTORING S.A.C.;;NO;Anotada en Cuenta;2/06/2026 16:47;;;;;Conforme;CPE con conformidad;Conformidad expresa dentro del plazo;14/05/2026;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841 - MADERO FACTORING S.A.C.;841;Electrónico;Pago único;Factura Comercial;Crédito;20565790448;E001;1549;;20109072177;SI;S/;1301.56;24/07/2026;1705.57;24/07/2026;CAVALI S.A. I.C.L.V.;BDC VIDA S.A.C.;LIMA;LIMA;MIRAFLORES;CAL. FEDERICO RECABARREN 350 DPTO. 411;;CENCOSUD RETAIL PERU S.A.;;LIMA;LIMA;MIRAFLORES;CAL. AUGUSTO ANGULO 130 URB. SAN ANTONIO LIMA-LIMA-MIRAFLORES;;;4/05/2026;VIDA Y CHIA 250 GR;;;1445.4;260.17;1705.57;24/07/2026;No;EN CASO DE CONTROVERSIAS, LAS PARTES SE SOMETEN A LA JURISDICCIÓN DE LOS JUECES Y TRIBUNALES DE LIMA CERCADO;;2/06/2026;Autorizada;Aceptado;2/06/2026;4/05/2026;;Conformidad Expresa;6/05/2026;;;;;;2/06/2026;SI;FN0010790323;861;3/06/2026;3/06/2026;;;1328903;20604772410;MADERO FACTORING S.A.C.;;NO;Anotada en Cuenta;2/06/2026 16:47;;;;;Conforme;CPE con conformidad;Conformidad expresa dentro del plazo;6/05/2026;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841 - MADERO FACTORING S.A.C.;841;Electrónico;Pago único;Factura Comercial;Crédito;20565790448;E001;1557;;20109072177;SI;S/;7246.33;5/08/2026;7470.44;1/08/2026;CAVALI S.A. I.C.L.V.;BDC VIDA S.A.C.;LIMA;LIMA;MIRAFLORES;CAL. FEDERICO RECABARREN 350 DPTO. 411;;CENCOSUD RETAIL PERU S.A.;;LIMA;LIMA;MIRAFLORES;CAL. AUGUSTO ANGULO 130 URB. SAN ANTONIO LIMA-LIMA-MIRAFLORES;;;13/05/2026;VIDA Y QUINUA BLANCA PERLADA CONVENCIONAL 454 G | VIDA Y QUINUA BLANCA 454 G | VIDA Y QUINUA NEGRA 454 G | VIDA Y QUINUA ROJA 454 G | VIDA Y QUINUA TRICOLOR 454 G | VIDA Y QUINUA TRICOLOR PERLADA CONVENCIONAL 454 G | VIDA Y QUINUA TRICOLOR PERLADA 250 G;;;6330.88;1139.56;7470.44;5/08/2026;No;EN CASO DE CONTROVERSIAS, LAS PARTES SE SOMETEN A LA JURISDICCIÓN DE LOS JUECES Y TRIBUNALES DE LIMA CERCADO;;2/06/2026;Autorizada;Aceptado;2/06/2026;13/05/2026;;Conformidad Expresa;14/05/2026;;;;;;2/06/2026;SI;FN0010790326;861;3/06/2026;3/06/2026;;;1328903;20604772410;MADERO FACTORING S.A.C.;;NO;Anotada en Cuenta;2/06/2026 16:47;;;;;Conforme;CPE con conformidad;Conformidad expresa dentro del plazo;14/05/2026;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841 - MADERO FACTORING S.A.C.;841;Electrónico;Pago único;Factura Comercial;Crédito;20565790448;E001;1556;;20109072177;SI;S/;1944.72;5/08/2026;2004.87;1/08/2026;CAVALI S.A. I.C.L.V.;BDC VIDA S.A.C.;LIMA;LIMA;MIRAFLORES;CAL. FEDERICO RECABARREN 350 DPTO. 411;;CENCOSUD RETAIL PERU S.A.;;LIMA;LIMA;MIRAFLORES;CAL. AUGUSTO ANGULO 130 URB. SAN ANTONIO LIMA-LIMA-MIRAFLORES;;;13/05/2026;VIDA Y QUINUA BLANCA PERLADA CONVENCIONAL 454 G | VIDA Y QUINUA BLANCA 454 G | VIDA Y QUINUA ROJA 454 G | VIDA Y QUINUA TRICOLOR PERLADA CONVENCIONAL 454 G;;;1699.04;305.83;2004.87;5/08/2026;No;EN CASO DE CONTROVERSIAS, LAS PARTES SE SOMETEN A LA JURISDICCIÓN DE LOS JUECES Y TRIBUNALES DE LIMA CERCADO;;2/06/2026;Autorizada;Aceptado;2/06/2026;13/05/2026;;Conformidad Expresa;14/05/2026;;;;;;2/06/2026;SI;FN0010790321;861;3/06/2026;3/06/2026;;;1328903;20604772410;MADERO FACTORING S.A.C.;;NO;Anotada en Cuenta;2/06/2026 16:47;;;;;Conforme;CPE con conformidad;Conformidad expresa dentro del plazo;14/05/2026;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
